candidate,uncertainty_n_bars,uncertainty_mean_width_ma,uncertainty_median_width_ma,uncertainty_sd_width_ma,uncertainty_min_width_ma,uncertainty_max_width_ma,uncertainty_q25_width_ma,uncertainty_q75_width_ma
MCMCTree,137,6.24,6.53,1.51,1.63,10.41,5.31,7.14
RelTime,193,11.41,11.85,4.17,2.96,32.96,9.26,13.7
