method,bar_id,y_center_px,width_px,width_Ma_approx
RelTime,21,351,23,8.52
RelTime,22,352.5,26,9.63
RelTime,23,354,24,8.89
RelTime,24,355,25,9.26
RelTime,25,368,32,11.85
RelTime,26,370,30,11.11
RelTime,27,371,32,11.85
RelTime,28,381.5,41,15.19
RelTime,29,387,51,18.89
RelTime,30,423,89,32.96
RelTime,31,425.5,35,12.96
RelTime,32,436.5,29,10.74
RelTime,33,442,31,11.48
RelTime,34,444,31,11.48
RelTime,35,447,10,3.7
RelTime,36,467,31,11.48
RelTime,37,477,37,13.7
RelTime,38,478,39,14.44
RelTime,39,479,39,14.44
RelTime,40,484.5,15,5.56
RelTime,41,499,9,3.33
RelTime,42,512.5,23,8.52
RelTime,43,517,33,12.22
RelTime,44,523,40,14.81
RelTime,45,524,41,15.19
RelTime,46,525,40,14.81
RelTime,47,526,38,14.07
RelTime,48,527,38,14.07
RelTime,49,528.5,14,5.19
RelTime,50,530,32,11.85
RelTime,51,531,32,11.85
RelTime,52,537,44,16.3
RelTime,53,548,41,15.19
RelTime,54,567,35,12.96
RelTime,55,567,22,8.15
RelTime,56,568,36,13.33
RelTime,57,568,31,11.48
RelTime,58,570,37,13.7
RelTime,59,570,30,11.11
RelTime,60,571,38,14.07
RelTime,61,571,29,10.74
RelTime,62,572,36,13.33
RelTime,63,572,28,10.37
RelTime,64,573,34,12.59
RelTime,65,574,43,15.93
RelTime,66,576,42,15.56
RelTime,67,580,32,11.85
RelTime,68,586,37,13.7
RelTime,69,587,38,14.07
RelTime,70,588.5,49,18.15
RelTime,71,593,27,10
RelTime,72,606,26,9.63
RelTime,73,621,14,5.19
RelTime,74,633.5,25,9.26
RelTime,75,636,34,12.59
RelTime,76,636,26,9.63
RelTime,77,637.5,35,12.96
RelTime,78,638,25,9.26
RelTime,79,640.5,33,12.22
RelTime,80,645.5,33,12.22
RelTime,81,651,41,15.19
RelTime,82,656,38,14.07
RelTime,83,670.5,30,11.11
RelTime,84,693.5,9,3.33
RelTime,85,702,52,19.26
RelTime,86,705.5,41,15.19
RelTime,87,707.5,41,15.19
RelTime,88,712,43,15.93
RelTime,89,713,27,10
RelTime,90,714,27,10
RelTime,91,715,27,10
RelTime,92,716,42,15.56
RelTime,93,718,34,12.59
RelTime,94,721,43,15.93
RelTime,95,724,32,11.85
RelTime,96,730,27,10
RelTime,97,731,30,11.11
RelTime,98,732,27,10
RelTime,99,752,14,5.19
RelTime,100,756,37,13.7
RelTime,101,756,31,11.48
RelTime,102,757,37,13.7
RelTime,103,758,31,11.48
RelTime,104,766,8,2.96
RelTime,105,779.5,29,10.74
RelTime,106,797.5,9,3.33
RelTime,107,804,23,8.52
RelTime,108,823,22,8.15
RelTime,109,833.5,15,5.56
RelTime,110,845,20,7.41
RelTime,111,866.5,53,19.63
RelTime,112,869,31,11.48
RelTime,113,871.5,30,11.11
RelTime,114,875,26,9.63
RelTime,115,876.5,32,11.85
RelTime,116,878,23,8.52
RelTime,117,888.5,16,5.93
RelTime,118,893,38,14.07
RelTime,119,895.5,41,15.19
RelTime,120,898.5,36,13.33
RelTime,121,901.5,41,15.19
RelTime,122,920,34,12.59
RelTime,123,924,33,12.22
RelTime,124,931,37,13.7
RelTime,125,945.5,46,17.04
RelTime,126,952,36,13.33
RelTime,127,961.5,13,4.81
RelTime,128,975,15,5.56
RelTime,129,985,11,4.07
RelTime,130,987,33,12.22
RelTime,131,989.5,35,12.96
RelTime,132,992.5,11,4.07
RelTime,133,995,28,10.37
RelTime,134,997,31,11.48
RelTime,135,1000,28,10.37
RelTime,136,1001,25,9.26
RelTime,137,1002,16,5.93
RelTime,138,1016,16,5.93
RelTime,139,1028,8,2.96
RelTime,140,1046.5,42,15.56
RelTime,141,1048.5,46,17.04
RelTime,142,1051,44,16.3
RelTime,143,1053.5,32,11.85
RelTime,144,1065.5,24,8.89
RelTime,145,1079,36,13.33
RelTime,146,1088,25,9.26
RelTime,147,1106.5,37,13.7
RelTime,148,1120,38,14.07
RelTime,149,1128,20,7.41
RelTime,150,1152,20,7.41
RelTime,151,1175,20,7.41
RelTime,152,1187,17,6.3
RelTime,153,1201,17,6.3
RelTime,154,1227.5,33,12.22
RelTime,155,1240,28,10.37
RelTime,156,1248.5,36,13.33
RelTime,157,1250,19,7.04
RelTime,158,1251,18,6.67
RelTime,159,1252,29,10.74
RelTime,160,1254,26,9.63
RelTime,161,1262,28,10.37
RelTime,162,1271.5,20,7.41
RelTime,163,1281.5,44,16.3
RelTime,164,1284,47,17.41
RelTime,165,1290.5,9,3.33
RelTime,166,1317,32,11.85
RelTime,167,1319,32,11.85
RelTime,168,1319.5,37,13.7
RelTime,169,1324.5,28,10.37
RelTime,170,1329,32,11.85
