"node","age","ci_lo","ci_hi","q50_lo","q50_hi","se"
106,105.34586001,105.34586,105.34586,105.34586,105.34586,NA
107,54.54822001,54.54822,54.54822,54.54822,54.54822,NA
108,53.232489825,37.1691239486722,49.754933041242,43.1710702603685,43.8258149343245,NA
109,52.8609280412,34.9335372579058,48.8320309121256,38.1559641481628,42.533555137916,NA
110,51.8733608317,34.9335269073405,47.6413824384872,37.3357931995162,40.2011977110645,NA
111,34.4730724517,24.5385773689795,29.9040237466686,25.2086567045944,27.0465115205779,NA
112,31.3833452727,23.1857429019757,26.6352519217345,24.2122982218941,25.2166070382068,NA
113,30.8938741811,22.3133849234721,25.3840604947601,23.575677810661,24.5106146130131,NA
114,28.8004640001,21.3583717611172,24.4141685862812,22.0384970792855,23.1629951426081,NA
115,22.8641384871,18.7335944634616,21.8238659113569,19.5112481284987,20.7571881165428,NA
116,14.0455372261,12.2528256265585,16.2092212060735,13.6939240461043,14.9180909292422,NA
117,11.5775212321,10.3330107185581,13.247744581575,11.4079980493293,12.6443190882465,NA
118,10.7687818727,8.92296376718549,11.9951501098362,10.4649913409137,11.194474926815,NA
119,9.27348306170003,6.93827053404741,9.64420715240465,7.51736128174873,8.45959893117681,NA
120,8.54797851580004,5.58099591303594,8.48705009379378,6.42421481037169,7.47473352572446,NA
121,6.71521882980004,2.81931035363307,6.52384751629942,3.8019494075857,4.97510719251116,NA
122,6.41344889770004,4.42979401936794,7.39491938553051,5.49185747898747,6.16515078719409,NA
123,11.0012607104,8.15756598215741,10.998702841783,8.8745890446701,9.43443130770949,NA
124,8.31780701340003,4.65553730735682,8.43767252835829,5.2885552124545,6.41802470139908,NA
125,1.38522352610002,3.60488726957763,7.83523811786779,6.32998416956754,7.34026839082881,NA
126,6.12620872710002,8.33022179213251,12.1675510247615,10.2870232162384,11.4742648701896,NA
127,0.55805471310002,2.01389131716839,6.089316129435,4.81295643487449,5.56386998244514,NA
128,26.6433828421,16.1557109109536,19.4214869202581,16.595475154487,17.3621329339406,NA
129,20.1985615401,10.0355953953377,13.9276082792345,10.7100020891086,11.4863607776799,NA
130,17.4467953401,6.00928464941057,11.0925108704405,7.61847205399231,9.39697312145307,NA
131,29.2687083631,19.3789186465102,22.9589129875938,19.7199192530039,20.5986483506056,NA
132,27.0877820221,14.8167741971824,20.727279736852,15.5287163628974,17.5473865466561,NA
133,22.2537637771,10.2554196592453,16.4691586382878,11.7624628351087,13.409964165924,NA
134,8.30213699710002,3.12587506962253,6.6726737373098,4.00228634236034,5.06665557651134,NA
135,19.4598326527,20.4603905370455,24.6955323946323,22.5529405343543,24.2149751800111,NA
136,11.2000311897,18.8128998406085,22.5889473945519,20.5064723978968,21.8277529678722,NA
137,6.32134733270001,15.7017317164054,19.3690467976448,17.5776216342841,18.8639335845194,NA
138,5.67258859030001,14.1637876369816,16.9815286653354,15.9669638248711,16.6428354166764,NA
139,5.53941115250001,13.0463141668779,15.7161420391747,14.1346858660507,14.8375614251673,NA
140,3.60597991150001,9.47076288462757,12.2679048351695,10.8727910179003,11.769109835746,NA
141,3.30222939360002,7.31569828860416,9.7309992481252,8.55684293438287,9.39610989353505,NA
142,3.29957963611801,5.48453754746529,7.69432386896586,6.78382560698364,7.31763531584886,NA
143,1.96233191011801,2.55099760020195,5.08033175870318,3.82147884989608,4.71925584732134,NA
144,1.32312634711801,1.29775386575166,3.34517616011288,2.01350768161279,2.66512765194332,NA
145,0.92513438811801,0.970977002155675,2.96572871015532,1.79466085782778,2.32638197318074,NA
146,1.58015076011802,1.94088683941014,4.53755194662434,2.8832453361984,3.5888927404223,NA
147,2.81195872280001,4.41238415490234,6.78327513296825,5.79761256802765,6.32762219242676,NA
148,2.81063972485701,2.82022953182801,5.48745782394318,3.34853885715835,4.07151864574084,NA
149,1.79059564480002,1.64880951537333,4.34361014995376,2.87226628276314,3.53268557481269,NA
150,4.7529394049,8.46119657778977,11.1682255629535,9.82314980691669,10.5110814963856,NA
151,1.29937538690001,2.09770734454935,4.73939710074079,3.58616084281009,4.43924471560344,NA
152,0.000950629900003719,1.00000079328311e-08,4.58606014203461,2.63455309242615,3.94409641611071,NA
153,2.48681511870001,5.16649841014876,9.72198483425821,8.88836235316327,9.44716913055829,NA
154,2.94572272770002,6.5377547095725,10.8807864086208,9.87591743958308,10.4977563252337,NA
155,9.58521312470002,13.0744033416687,16.196336501254,14.8443962044291,15.7896903965609,NA
156,6.62848434070001,6.52491236015133,9.7640021353317,7.92751808168424,8.35458566663647,NA
157,32.9639483217,24.889716670029,28.2934400547564,26.3591824800989,27.4178840484293,NA
158,23.5267458327,20.9852863498088,23.3382510592685,21.9711578240851,22.8036839960167,NA
159,18.7576473467,16.0471094347953,19.1828335073447,18.0900753058804,18.5474819058622,NA
160,15.8075495027,12.651366549395,16.4585554714789,14.0496657796553,14.9323759491107,NA
161,4.4344531927,5.21015293105724,8.91137153561416,6.94446511788655,8.35475257066368,NA
162,3.12556914770001,3.53161267758404,5.85213471819625,4.37385865534308,5.09891336071856,NA
163,10.2752478217,6.92062172973792,9.52832609770756,7.24339440268743,8.23385277069609,NA
164,11.1212120897,11.2784359611927,13.8363076725399,12.8303476062439,13.4395724675338,NA
165,9.8773657837,8.63959035359262,12.4655384417096,9.94725168751502,10.9458527890108,NA
166,1.8616547597,0.997480907442287,4.47927609043149,3.06662309783189,3.95486487242052,NA
167,1.4318021687,0.411993697308361,4.26728051706154,2.59591084047526,3.5994285436429,NA
168,26.3141965712,23.1633298220138,26.0972107355961,24.6971653115356,25.487834847653,NA
169,12.7429769712,14.1518152027638,16.5727299314026,15.6627704736815,16.3315675803357,NA
170,7.2853000042,7.28529999999999,7.28530000000002,7.28529999999999,7.28530000000001,NA
171,5.76285417619999,4.81114036426223,7.2004313941164,5.45777889670168,6.1502664083465,NA
172,4.5277105102,2.87846667694982,5.64477283000371,4.09275823056116,5.03053567043584,NA
173,2.4122300232,1.44199847781104,3.76937270148735,2.05160479177482,2.97556919105644,NA
174,1.3921386192,0.00273237629071162,2.55909066051317,1.07437377582305,1.82609861487491,NA
175,2.1669411372,2.06079627277748,5.18931713374043,3.14519297965542,4.24867903396,NA
176,1.2630980907,0.593468142629629,3.01294687861176,1.85591104587476,2.55543213187306,NA
177,17.1684013202,12.8111622458934,14.6382109503155,13.1206503266771,13.6853839741881,NA
178,50.875106934,33.2242907080435,34.8761188950144,33.6856297084854,34.1036581240539,NA
179,45.192475089,26.3428862703741,28.4931034616112,26.8374117630648,27.2934208728314,NA
180,33.498312189,18.0655896576607,20.1972837667298,19.0522997504079,19.7477595317446,NA
181,29.561511179,13.695461825537,17.1108812762895,14.2298751513273,15.4012391145621,NA
