"candidate","uncertainty_source","uncertainty_n_bars","uncertainty_mean_width_ma","uncertainty_median_width_ma","uncertainty_sd_width_ma","uncertainty_min_width_ma","uncertainty_max_width_ma","uncertainty_q25_width_ma","uncertainty_q75_width_ma"
"chronos_discrete","chronos-bootstrap",104,3.25940984243448,2.9280413703368,2.07465289411982,0,13.8984936542198,2.36043398804562,3.74625155757796
"chronos_clock","chronos-bootstrap",104,3.39261659880725,2.8819110439218,2.73631912423752,0,17.3874755487462,2.15632396990953,3.82199598106437
"chronos_correlated","chronos-bootstrap",104,1.81039448669441,1.83382823671239,1.2407033049991,0,6.2813707538941,0.70972965475658,2.67293821625892
"chronos_relaxed","chronos-bootstrap",104,2.55731794797061,2.21875271151279,2.4022061096592,0,16.5655027873499,0.803178480977561,3.5649896099548
"RelTime","RelTime-bootstrap",104,8.70305507360941,7.29674858598784,6.88841746123572,0,30.655016231741,4.08004646860892,10.9389878087587
"treePL","treePL-bootstrap",104,8.01255178854167,7.49266662500001,4.72135041662565,2.99999998976119e-06,24.8228706916667,5.10861037152777,10.4032012298611
