"node","age","ci_lo","ci_hi","q50_lo","q50_hi","se"
106,105.345860014,105.34586,105.34586,105.34586,105.34586,NA
107,54.548220014,54.54822,54.54822,54.54822,54.54822,NA
108,44.098263344,43.8116523553588,44.0967739530133,44.0076083864255,44.089543000901,NA
109,34.895022484,36.7768510575026,43.0582218113967,38.4551013858943,40.4606847607251,NA
110,32.210791327,34.8982532336266,41.0860648701113,36.6889681907062,39.3834179348109,NA
111,29.526556194,25.7169813271073,28.4904389811627,26.4348843370064,27.4064814657504,NA
112,26.842325058,23.8984836639258,26.2274997077082,24.2533758832782,24.9417085426349,NA
113,24.15809251,22.5973620845831,25.0548980384643,23.7126421922704,24.308395408935,NA
114,21.473860021,21.3066133827174,24.0014382762276,22.1874722292319,23.255883639541,NA
115,18.78962757,18.2671574191342,20.9768242534586,19.1758034910521,20.0409227604712,NA
116,16.105394944,13.5802804538247,16.2703569432442,14.3842878438381,15.3561713179979,NA
117,13.421162509,9.88968462077945,13.3971404328056,11.4677939892257,12.6861886974556,NA
118,10.736930013,8.61920010646388,11.6977372820033,9.8403652430994,11.0723201487169,NA
119,8.05269750500004,6.47875744421519,8.88251291677472,7.42811102476189,8.01224807942178,NA
120,5.36846501700003,5.45365058655335,7.88791383052554,5.86008598696607,6.93087426393112,NA
121,2.68423252300003,2.8141066110961,6.03708495516641,3.4114020072048,4.73945299815898,NA
122,5.36846501100004,4.77056456287267,6.53628115826995,5.40642080500523,5.90478783234026,NA
123,8.94744167500002,8.64203826901898,9.77467476913776,8.81360350685962,8.99101526110647,NA
124,4.47372085000002,4.44984665465002,6.8179131826176,4.95247315614826,5.83396289689637,NA
125,8.05269751100002,7.61464382003933,8.28276041255059,8.04198735875967,8.13904217451604,NA
126,12.526418335,9.61397095063989,12.7120217424946,11.2300659644125,12.2380553240906,NA
127,6.26320917700002,5.74827779394677,6.45169135336334,6.26100261321298,6.32140169251939,NA
128,16.105395011,16.123471078791,17.2400000152753,16.2021186301473,16.5360513787002,NA
129,10.736930007,9.9138726431123,11.0938574241071,10.2007489101431,10.6270842303284,NA
