"node","age","ci_lo","ci_hi","se"
106,105.345862,105.345862,105.345862,0
107,54.548222,54.54822,54.54822,6.30144675549528
108,52.605211,40.432853767467,64.777568232533,6.21038634312907
109,51.789344,39.6809767130738,63.8977112869262,6.17773841169705
110,50.090118,38.214531193138,61.965704806862,6.05897286064389
111,30.696204,22.6070478222428,38.7853601777572,4.12712049885571
112,26.96186,19.4982503231511,34.4254696768489,3.80796412084126
113,25.940322,18.5935731739191,33.2870708260809,3.74834123779637
114,24.296358,17.1991705029194,31.3935454970806,3.62101402912275
115,19.08107,12.8926542311635,25.2694857688364,3.15735498410023
116,12.125857,7.45339304401744,16.7983209559825,2.38391018162374
117,9.38037299999998,5.26574252265869,13.4950034773413,2.09930126394964
118,8.24068699999998,4.31799454205199,12.163379457948,2.00137370303469
119,6.52913799999997,3.00474828041721,10.0535277195827,1.79815802019529
120,6.05790399999998,2.71102185523675,9.40478614476321,1.70759293100165
121,5.32956699999998,2.19596451519752,8.46316948480245,1.59877677796044
122,4.92243199999999,1.9049235036261,7.93994049637387,1.53954515121116
123,8.60734099999998,4.23419122451256,12.9804907754874,2.2311988650446
124,6.02918999999997,2.31086709393157,9.74751290606837,1.89710352350429
125,2.75519099999998,0.381448537901721,5.12893346209824,1.21109309290728
126,5.48197899999998,2.42983004706767,8.5341279529323,1.5572188535369
127,1.13862199999998,0,2.51582234929949,0.702653239438525
128,22.80361,15.8131308674132,29.7940891325868,3.56657098601366
129,17.885399,11.5414669688594,24.2293310311405,3.23670001588803
130,15.374407,9.31515959876888,21.4336544012311,3.09145275573015
131,23.661286,16.6721224113428,30.6504495886572,3.56589979013122
132,20.871727,14.3407428719487,27.4027111280513,3.33213475920985
133,15.915974,10.3618025793715,21.4701454206285,2.8337609288921
134,5.18029299999998,2.42998754476559,7.93059845523437,1.40321706899714
135,23.391902,16.3129658982602,30.4708381017397,3.61170209272436
136,19.465077,12.7481572860091,26.1819967139909,3.42699985407697
137,15.732013,9.29778010468142,22.1662458953186,3.28277188536662
138,14.145462,7.27548622745687,21.0154377725431,3.50508967986894
139,12.69558,3.85435268383796,21.536807316162,4.51083026334798
140,9.78598099999999,2.23050775907204,17.3414542409279,3.85483328618773
141,8.411558,0.841190071133435,15.9819259288666,3.86243261676866
142,6.622243,0,693.843730155577,350.623207732437
143,4.70519299999999,0,492.99498220577,249.127443472331
144,2.85789,0,299.455281441335,151.325199714967
145,2.41412199999999,0,252.987692960567,127.843658653351
146,4.21982,0,442.139963783651,223.428644787577
147,7.09858,0.284736000855724,13.9124239991443,3.47645101997157
148,5.532127,0,817.363694072839,414.199779118795
149,4.489391,0,9.58814180657166,2.60140347274064
150,10.980203,2.80308426891684,19.1573217310831,4.17199935259344
151,3.20443499999999,0,7.10413101977381,1.98964082641521
152,1.83846499999999,0,3.72840398763347,0.964254585527286
153,8.87117099999999,2.51261844123904,15.2297235587609,3.24415946875559
154,7.58991099999999,2.67198841586403,12.5078335841359,2.50914417557957
155,13.459569,7.59428233585568,19.3248556641443,2.992493195992
156,10.354159,4.56524761397785,16.1430703860221,2.95352621735823
157,36.332661,26.4542674683864,46.2110545316136,5.03999669980285
158,30.333619,21.1905282684691,39.4767097315309,4.66484220996473
159,26.551953,17.6339609953179,35.4699450046821,4.5499959207562
160,22.722788,14.2715789473169,31.1739970526831,4.31184135340974
161,8.19144999999999,2.82870318168519,13.5541968183148,2.73609531546674
162,5.41756199999999,0.86774765409558,9.9673763459044,2.32133384995123
163,14.437285,7.5329200321145,21.3416499678855,3.52263518769668
164,20.716021,12.0938727453024,29.3381692546976,4.39905523198857
165,18.821741,10.3694514918171,27.2740305081829,4.31239260621578
166,4.814987,0.181215825094712,9.44875817490529,2.36416896678841
167,3.10131700000001,0,6.26154093527682,1.61235915065143
168,34.360714,23.6546487252821,45.0667792747179,5.46227820138666
169,17.44861,6.94762296349481,27.9495970365052,5.35764644719653
170,7.285302,7.2853,7.2853,3.30739100985633
171,5.81595300000001,0,11.7071450237009,3.00571021617393
172,4.59020100000001,0,9.70108233495049,2.60759251783188
173,2.27825700000001,0,5.54800238272567,1.66823744016615
174,1.13730200000001,0,3.36433055440095,1.13623905836783
175,2.92931300000001,0,6.413499754161,1.77764630314336
176,1.750646,0,4.42402598914678,1.36396938221774
177,22.102672,13.0167023432238,31.1886416567762,4.63569880447767
178,51.263786,39.094248959129,63.433323040871,6.20894746983217
179,44.251719,32.7488821322656,55.7545558677344,5.86879432027264
180,32.073479,21.9510488209171,42.1959091790829,5.16450519340963
181,26.614711,17.4775137321368,35.7519082678632,4.66183534074652
182,21.107148,13.1312004805159,29.0830955194841,4.06936097932862
183,40.64827,29.5583769533341,51.7381630466659,5.65810869727853
184,19.401217,12.2272009499233,26.5752330500767,3.66021227044728
185,23.198351,23.19835,23.19835,12.6184799045905
186,21.681035,0,44.8921557964401,11.8424085696123
187,16.607671,0,34.6611717166994,9.21096975341804
188,15.230419,0,31.8936307147388,8.50163862996877
189,1.00416199999999,0,2.32069167364874,0.671698813086093
190,50.954621,38.9717641061919,62.9374778938081,6.11370249684086
191,33.054298,23.8753144610754,42.2332815389247,4.68315486679829
192,25.129792,17.2790822901129,32.9805017098871,4.00546413769748
193,13.713081,8.49300483053667,18.9331571694633,2.66330416809354
194,11.539315,6.72518682862945,16.3534431713706,2.456187842536
195,10.769749,6.09569058045575,15.4438074195443,2.38472368344095
196,9.670108,0,418.679792129078,208.678410269938
197,8.063909,0,349.142835771123,174.019860597512
198,1.660055,0.0803001052744596,3.23980989472554,0.805997395268133
199,10.676484,5.9063372837129,15.4466307162871,2.43374832463627
200,8.765629,4.46073126286933,13.0705267371307,2.19637639649524
201,0.484285,0.0124913709687706,0.956078629031229,0.240711035220015
202,1.21954900000001,0,2.6797898690537,0.745020851558004
203,44.794771,33.4163645546364,56.1731774453636,5.80530941089978
204,39.308276,28.1197558377124,50.4967961622876,5.70842865422838
205,20.08457,10.1210361705423,30.0481038294577,5.08343562727435
206,12.02261,2.72298098966039,21.3222390103396,4.7447086787447
207,27.171054,17.4336501342781,36.9084578657219,4.96806319679688
208,45.946324,33.6221230942293,58.2705249057707,6.28785760498503
209,7.74432599999999,1.08347686128808,14.4051751387119,3.39839241771016
