"node","age","ci_lo","ci_hi","se"
192,32.7106821375622,0,141124.943088292,71985.8328602827
193,15.5805562317706,0,97607.5187395426,49791.8051955667
194,12.3239568006556,0,80658.6149905875,41146.0668539729
195,11.188414543451,0,73866.9313651806,37681.5015054271
196,11.1871398494046,0,73858.5167556654,37677.2089876612
197,9.41070885016404,0,63987.0437208783,32641.6494959327
198,1.70038729972869,0,18476.7340400228,9426.03757791992
199,12.405428945195,0,81430.1134799176,41539.6469647819
200,10.1567352036814,0,69386.8759842945,35396.2853311688
201,0.165654598245204,0,2209.8367712819,1127.38322279778
202,1.10903594643945,0,13372.4188459291,6822.09684182788
203,54.548218,0,160099.122102515,81655.3948390384
204,48.8940127848761,0,149908.331029075,76458.8964368828
205,19.5125760921992,0,124499.981730719,63510.4434462383
206,10.2105625547735,0,81638.3259744089,41646.9976591092
207,34.3450180221756,0,148756.392791968,75878.5958030337
208,44.1631692391436,0,250827.931609042,127950.902265205
209,8.11016670877043,0,81181.6948447886,41415.0942235101
