"node","n_tips","cv_ref","cv_est","concordance","spike_ratio","candidate"
124,11,0.907744985675601,0.989447074765434,0.917426519140296,1.36104029996679,"chronos_discrete"
125,9,0.831858496745109,0.789608217643747,0.949209776342156,1.47792833090037,"chronos_discrete"
126,8,0.704951425114159,0.80288130826131,0.87802694851718,1.1917271694429,"chronos_discrete"
147,46,1.12635392139774,1.06654647052073,0.946901724457277,0.923444614713405,"chronos_discrete"
153,11,0.695585021347172,1.2359608384411,0.562788884334316,1.6125798866037,"chronos_discrete"
155,9,0.69563725241818,0.760884807756102,0.914247788005728,1.71322083627994,"chronos_discrete"
170,23,1.06646226569314,1.10923062701134,0.961443219942967,0.945182530027646,"chronos_discrete"
171,20,1.0979071195022,1.13989766054266,0.963162885148415,0.95248706847474,"chronos_discrete"
172,18,1.09014281406492,1.04277121053508,0.956545506773375,0.958765240894431,"chronos_discrete"
174,16,1.15963870090501,1.08762600169264,0.937900745157802,1.08511961209514,"chronos_discrete"
175,15,1.10529361858992,1.0291098336946,0.931073713252316,0.3238907663616,"chronos_discrete"
179,11,0.821970057293567,0.817565958691907,0.994642020639826,2.18419753083151,"chronos_discrete"
180,10,0.810794508687336,0.785021695476961,0.968212891263779,2.21384195062178,"chronos_discrete"
124,11,0.907744985675601,0.989666718202092,0.917222908460217,1.36147038666624,"chronos_clock"
125,9,0.831858496745109,0.789788794226272,0.949426852423282,1.47844813722232,"chronos_clock"
126,8,0.704951425114159,0.803225711786929,0.877650472052071,1.1928057405209,"chronos_clock"
147,46,1.12635392139774,1.06672502650146,0.947060250101247,0.846081117926371,"chronos_clock"
153,11,0.695585021347172,1.23588190498559,0.562824828603088,1.61026918340554,"chronos_clock"
155,9,0.69563725241818,0.760516424160044,0.914690636939866,1.71328033785196,"chronos_clock"
170,23,1.06646226569314,1.10943530600431,0.961265843913029,0.862601452825484,"chronos_clock"
171,20,1.0979071195022,1.14075164280057,0.962441848259638,0.86912080186729,"chronos_clock"
172,18,1.09014281406492,1.04306734474033,0.956817153938706,0.874753474705455,"chronos_clock"
174,16,1.15963870090501,1.08813602526662,0.938340557638697,1.05541004115738,"chronos_clock"
175,15,1.10529361858992,1.02959847225859,0.931515802626366,0.280949003478114,"chronos_clock"
179,11,0.821970057293567,0.818622609049268,0.995927530188482,2.19031659237337,"chronos_clock"
180,10,0.810794508687336,0.785954728488595,0.969363655115331,2.2196796007971,"chronos_clock"
124,11,0.907744985675601,0.957599573239725,0.94793795970955,1.32284836392643,"chronos_correlated"
125,9,0.831858496745109,1.00046899467117,0.83146854242946,1.51370926894666,"chronos_correlated"
126,8,0.704951425114159,0.281671516186666,0.399561595525611,1.27850962689078,"chronos_correlated"
147,46,1.12635392139774,0.505857420646268,0.449110542464779,1.06935757255282,"chronos_correlated"
153,11,0.695585021347172,0.465362760774786,0.669023550670335,1.22644591920568,"chronos_correlated"
155,9,0.69563725241818,0.322748612810051,0.463961082716761,1.04759212989551,"chronos_correlated"
170,23,1.06646226569314,0.627840652002148,0.588713423999195,1.01163482284186,"chronos_correlated"
