"sig","time_branch","parent_node","child_node","ref_branch","rate","log_rate","candidate"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_cyanea|Eupercaria_Centrarchiformes_Girellidae_Girella_fimbriata|Eupercaria_Centrarchiformes_Girellidae_Girella_laevifrons|Eupercaria_Centrarchiformes_Girellidae_Girella_leonina|Eupercaria_Centrarchiformes_Girellidae_Girella_melanichthys|Eupercaria_Centrarchiformes_Girellidae_Girella_mezina|Eupercaria_Centrarchiformes_Girellidae_Girella_nebulosa|Eupercaria_Centrarchiformes_Girellidae_Girella_nigricans|Eupercaria_Centrarchiformes_Girellidae_Girella_punctata|Eupercaria_Centrarchiformes_Girellidae_Girella_simplicidens|Eupercaria_Centrarchiformes_Girellidae_Girella_tricuspidata|Eupercaria_Centrarchiformes_Girellidae_Girella_zebra|Eupercaria_Centrarchiformes_Girellidae_Graus_nigra|Eupercaria_Centrarchiformes_Scorpididae_Labracoglossa_argenteiventris|Eupercaria_Centrarchiformes_Scorpididae_Medialuna_californiensis|Eupercaria_Centrarchiformes_Scorpididae_Scorpis_georgiana|Eupercaria_Centrarchiformes_Scorpididae_Scorpis_lineolata|Eupercaria_Centrarchiformes_Scorpididae_Scorpis_violacea|Scorpididae_Scorpis_aequipinnis",3.352477957,107,190,0.004256,0.00126950871999425,-6.66912528800166,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_cyanea|Eupercaria_Centrarchiformes_Girellidae_Girella_laevifrons|Eupercaria_Centrarchiformes_Girellidae_Girella_leonina|Eupercaria_Centrarchiformes_Girellidae_Girella_melanichthys|Eupercaria_Centrarchiformes_Girellidae_Girella_mezina|Eupercaria_Centrarchiformes_Girellidae_Girella_nigricans|Eupercaria_Centrarchiformes_Girellidae_Girella_punctata|Eupercaria_Centrarchiformes_Girellidae_Girella_simplicidens|Eupercaria_Centrarchiformes_Girellidae_Girella_tricuspidata|Eupercaria_Centrarchiformes_Girellidae_Girella_zebra",11.66560715,192,193,0.019379,0.00166120800664884,-6.40021022642105,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_cyanea|Eupercaria_Centrarchiformes_Girellidae_Girella_laevifrons|Eupercaria_Centrarchiformes_Girellidae_Girella_nigricans|Eupercaria_Centrarchiformes_Girellidae_Girella_simplicidens|Eupercaria_Centrarchiformes_Girellidae_Girella_tricuspidata|Eupercaria_Centrarchiformes_Girellidae_Girella_zebra",2.868273644,193,194,0.00344,0.00119932768869385,-6.72599413861393,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_cyanea|Eupercaria_Centrarchiformes_Girellidae_Girella_nigricans|Eupercaria_Centrarchiformes_Girellidae_Girella_simplicidens|Eupercaria_Centrarchiformes_Girellidae_Girella_tricuspidata|Eupercaria_Centrarchiformes_Girellidae_Girella_zebra",1.07604224,194,195,0.001213,0.00112727916703344,-6.78794836649488,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_cyanea|Eupercaria_Centrarchiformes_Girellidae_Girella_tricuspidata|Eupercaria_Centrarchiformes_Girellidae_Girella_zebra",0.002155532372,195,196,1e-06,0.000463922515379416,-7.67579301239963,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_fimbriata|Eupercaria_Centrarchiformes_Girellidae_Girella_nebulosa",25.50069014,192,202,0.02016,0.000790566839145162,-7.14276035189084,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_leonina|Eupercaria_Centrarchiformes_Girellidae_Girella_melanichthys",9.868624937,200,201,0.016586,0.00168067994334397,-6.3885568392664,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_leonina|Eupercaria_Centrarchiformes_Girellidae_Girella_melanichthys|Eupercaria_Centrarchiformes_Girellidae_Girella_mezina",1.807566726,199,200,0.003328,0.00184114918256135,-6.29736534657514,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_leonina|Eupercaria_Centrarchiformes_Girellidae_Girella_melanichthys|Eupercaria_Centrarchiformes_Girellidae_Girella_mezina|Eupercaria_Centrarchiformes_Girellidae_Girella_punctata",2.755390476,193,199,0.003949,0.00143319069815933,-6.54785206281457,"chronos_discrete"
"clade:Eupercaria_Centrarchiformes_Girellidae_Girella_nigricans|Eupercaria_Centrarchiformes_Girellidae_Girella_simplicidens",8.736417383,195,198,0.014173,0.00162228970740099,-6.42391672801667,"chronos_discrete"
