"ref_node","n_tips","n_events","emd","burst_ref","burst_est","burst_loss","centroid_shift","weight","candidate"
107,102,100,0.259927504781257,1.50352941925565,1.70524709779674,0,0.262632987758239,46.3472898822964,"chronos_discrete"
108,83,81,0.260328887337353,1.40445572169558,1.72611489167853,0,0.263715246907908,39.8773511895898,"chronos_discrete"
109,70,68,0.253372518137278,1.49326911205061,2.75724613788459,0,0.257180696756119,35.1509587624725,"chronos_discrete"
110,59,57,0.197899211548936,1.67617697439804,2.58057517287898,0,0.19905299008465,30.911623565728,"chronos_discrete"
111,47,45,0.285271925973109,1.74616332115399,1.24994979681494,0.284173604111002,0.283663422330227,25.9688058448678,"chronos_discrete"
112,46,44,0.337783178271842,1.80398603834921,1.25835813767899,0.302456831189897,0.343220573778043,25.5389899647179,"chronos_discrete"
113,23,21,0.0952296159931409,1.24157524738681,0.933477776076814,0.248150462050696,0.0925293585556811,14.5636722402138,"chronos_discrete"
114,18,16,0.136589321968688,1.55939455772792,0.833414530801715,0.46555249492695,0.134341507475316,11.7777559166658,"chronos_discrete"
115,14,12,0.172797730430096,1.68614403039708,1.4029514540968,0.167952779356233,0.169349293513845,9.38096107551229,"chronos_discrete"
116,11,9,0.137430660491073,1.77593003549846,1.04600141162111,0.411012038361106,0.129091497305005,7.454719949364,"chronos_discrete"
117,9,7,0.0698117206135061,1.87815770765077,1.4361613192686,0.235335076805021,0.0681249400307983,6.09206752862678,"chronos_discrete"
135,23,21,0.293994820901348,1.61353193025808,2.01298169832066,0,0.295769736927296,14.5636722402138,"chronos_discrete"
136,20,18,0.256511159671517,1.33128174364278,1.84634159053267,0,0.257853539494593,12.916814767133,"chronos_discrete"
137,18,16,0.221876489686196,1.28752936969577,0.918577680710678,0.286557881838445,0.2241189464729,11.7777559166658,"chronos_discrete"
138,16,14,0.216935673421258,1.26661119415477,0.997154610398582,0.212738198588073,0.219516084447811,10.6009136370944,"chronos_discrete"
139,15,13,0.235336631219385,1.23428386751924,0.972924112121069,0.211750118652414,0.238402258840546,9.99671080380871,"chronos_discrete"
140,11,9,0.207580773933765,1.86819526121896,0.878646361042626,0.529681731196634,0.208385958026636,7.454719949364,"chronos_discrete"
141,10,8,0.21489130061925,1.86354073326975,0.914080024132435,0.509492866019029,0.217381616988196,6.78227203188358,"chronos_discrete"
157,12,10,0.292623583340242,1.34049709159145,0.942251225902718,0.297088198241173,0.295291602999816,8.11108205256386,"chronos_discrete"
158,11,9,0.257186699793609,1.24879933088022,0.827396876923278,0.337446092047132,0.25902046577942,7.454719949364,"chronos_discrete"
159,10,8,0.259100290071739,1.32045598310063,0.891442575581372,0.324897923906213,0.263073046970295,6.78227203188358,"chronos_discrete"
168,11,9,0.299544279181303,1.29182499474583,1.09236859825634,0.154398929654228,0.303789453367099,7.454719949364,"chronos_discrete"
169,9,7,0.0486569965265902,1.1226832758863,1.06327823657182,0.0529134445932937,0.0463780590122106,6.09206752862678,"chronos_discrete"
170,8,6,0.113048049441205,0.745684303997202,0.680434624945169,0.0875030877037081,0.114313554960088,5.38207906477617,"chronos_discrete"
178,13,11,0.223790857061709,0.961697319401727,0.969364601395572,0,0.228078739014888,8.75276296257109,"chronos_discrete"
190,19,17,0.146320452637528,1.14696569478289,1.03308140303602,0.0992918029412615,0.150153696407182,12.3517205899348,"chronos_discrete"
191,13,11,0.0587095865638006,1.3478594335033,1.36053057826197,0,0.0619499433464077,8.75276296257109,"chronos_discrete"
192,12,10,0.0720856323544821,1.53448667462203,1.54988223444395,0,0.0767050422860705,8.11108205256386,"chronos_discrete"
193,10,8,0.0547127026933192,1.36642791552204,1.40445238075065,0,0.0566745941547945,6.78227203188358,"chronos_discrete"
107,102,100,0.259911547884378,1.50352941925565,1.70401100038111,0,0.262616929492233,46.3472898822964,"chronos_clock"
108,83,81,0.260327545775899,1.40445572169558,1.72678633223279,0,0.263713522457591,39.8773511895898,"chronos_clock"
109,70,68,0.253378155562588,1.49326911205061,2.75812432223726,0,0.257186558295661,35.1509587624725,"chronos_clock"
110,59,57,0.197905415518814,1.67617697439804,2.58127728794444,0,0.199058113248895,30.911623565728,"chronos_clock"
111,47,45,0.28527038416705,1.74616332115399,1.25009447156506,0.284090751179454,0.28362950669295,25.9688058448678,"chronos_clock"
112,46,44,0.337791013558313,1.80398603834921,1.25871216535509,0.302260583730896,0.343222629932167,25.5389899647179,"chronos_clock"
113,23,21,0.0952294952371192,1.24157524738681,0.933425213722164,0.248192797265385,0.0925233525539758,14.5636722402138,"chronos_clock"
114,18,16,0.136659352501809,1.55939455772792,0.83259132874354,0.466080393433517,0.134410130806066,11.7777559166658,"chronos_clock"
115,14,12,0.172788003182919,1.68614403039708,1.40248604985832,0.168228796250455,0.169336835946913,9.38096107551229,"chronos_clock"
116,11,9,0.137328041203516,1.77593003549846,1.04597610941406,0.411026285660576,0.128982229488047,7.454719949364,"chronos_clock"
117,9,7,0.0698149159387737,1.87815770765077,1.43579788111544,0.235528584598149,0.0681155518740167,6.09206752862678,"chronos_clock"
135,23,21,0.293970131322707,1.61353193025808,2.01064497707072,0,0.295757880942766,14.5636722402138,"chronos_clock"
136,20,18,0.256798774045689,1.33128174364278,1.84930509639443,0,0.258137184570574,12.916814767133,"chronos_clock"
137,18,16,0.221846809806228,1.28752936969577,0.919497590703131,0.285843404938653,0.224082016926414,11.7777559166658,"chronos_clock"
138,16,14,0.216798120693463,1.26661119415477,0.997586203661137,0.212397452142323,0.21936956139883,10.6009136370944,"chronos_clock"
139,15,13,0.235199456263274,1.23428386751924,0.973295505054685,0.211449221149506,0.238258828290059,9.99671080380871,"chronos_clock"
140,11,9,0.207003069464322,1.86819526121896,0.878880462871852,0.52955642211675,0.207811323994186,7.454719949364,"chronos_clock"
141,10,8,0.21432167220722,1.86354073326975,0.914118630158702,0.509472149527257,0.216812761944585,6.78227203188358,"chronos_clock"
157,12,10,0.292608482347123,1.34049709159145,0.942126880408034,0.297180958975579,0.295273930220648,8.11108205256386,"chronos_clock"
158,11,9,0.257162229936639,1.24879933088022,0.827140705464837,0.33765122625253,0.258992824246133,7.454719949364,"chronos_clock"
159,10,8,0.259078060600766,1.32045598310063,0.891120441942076,0.325141880269332,0.263047062426442,6.78227203188358,"chronos_clock"
168,11,9,0.29954775223254,1.29182499474583,1.0924067164047,0.154369422446584,0.303792946631078,7.454719949364,"chronos_clock"
169,9,7,0.0486307623917749,1.1226832758863,1.06335115391061,0.0528484954305546,0.0463329811908031,6.09206752862678,"chronos_clock"
170,8,6,0.113022458064369,0.745684303997202,0.681434100411308,0.0861627410438947,0.114280865269827,5.38207906477617,"chronos_clock"
178,13,11,0.22376060722812,0.961697319401727,0.968849398868108,0,0.228047722347693,8.75276296257109,"chronos_clock"
190,19,17,0.146244461362233,1.14696569478289,1.03252855950148,0.0997738082331838,0.150076317527333,12.3517205899348,"chronos_clock"
191,13,11,0.0587264500060479,1.3478594335033,1.35976306633438,0,0.061960810526303,8.75276296257109,"chronos_clock"
192,12,10,0.0719878900046236,1.53448667462203,1.54875565526996,0,0.0766114555773807,8.11108205256386,"chronos_clock"
193,10,8,0.0549129404168471,1.36642791552204,1.4032033158107,0,0.0568777111068749,6.78227203188358,"chronos_clock"
107,102,100,0.266717089594756,1.50352941925565,1.66110683713814,0,0.269111996087589,46.3472898822964,"chronos_correlated"
108,83,81,0.244015045259585,1.40445572169558,2.03735396943208,0,0.245724385757144,39.8773511895898,"chronos_correlated"
109,70,68,0.141047244989145,1.49326911205061,1.21235953847679,0.188117179486739,0.142590930145991,35.1509587624725,"chronos_correlated"
110,59,57,0.067190464175096,1.67617697439804,1.20036222402081,0.283869041064604,0.0531811317644971,30.911623565728,"chronos_correlated"
111,47,45,0.206651881146769,1.74616332115399,1.15137274158647,0.340627117957155,0.20953571012251,25.9688058448678,"chronos_correlated"
112,46,44,0.254752014531024,1.80398603834921,1.13912062441491,0.368553525249194,0.259358048402438,25.5389899647179,"chronos_correlated"
113,23,21,0.110758680345307,1.24157524738681,0.838971714578314,0.324268330619141,0.112083373072785,14.5636722402138,"chronos_correlated"
114,18,16,0.0951180177274502,1.55939455772792,0.832812327977657,0.465938672255242,0.083734893382392,11.7777559166658,"chronos_correlated"
115,14,12,0.133580337440144,1.68614403039708,0.646228668822952,0.616741715313973,0.0622343740969878,9.38096107551229,"chronos_correlated"
116,11,9,0.249256317424348,1.77593003549846,0.682929216445913,0.615452634509417,0.251531745721895,7.454719949364,"chronos_correlated"
117,9,7,0.336067342700468,1.87815770765077,0.600528866562828,0.680256421429775,0.335569391114096,6.09206752862678,"chronos_correlated"
135,23,21,0.153316125223985,1.61353193025808,0.832920532786362,0.483790486468018,0.113375143203404,14.5636722402138,"chronos_correlated"
136,20,18,0.160363457667197,1.33128174364278,0.887516086547249,0.333337146110729,0.1454986249451,12.916814767133,"chronos_correlated"
137,18,16,0.269734481098817,1.28752936969577,0.94731551380441,0.26423774392928,0.277187314859355,11.7777559166658,"chronos_correlated"
138,16,14,0.277673834428311,1.26661119415477,0.937165877518217,0.260099798704317,0.284437088672993,10.6009136370944,"chronos_correlated"
139,15,13,0.244598741761695,1.23428386751924,0.996908801670188,0.192318049433762,0.252268956477622,9.99671080380871,"chronos_correlated"
