"candidate","uncertainty_source","uncertainty_n_bars","uncertainty_mean_width_ma","uncertainty_median_width_ma","uncertainty_sd_width_ma","uncertainty_min_width_ma","uncertainty_max_width_ma","uncertainty_q25_width_ma","uncertainty_q75_width_ma"
"chronos_clock","not_scored",0,NA,NA,NA,NA,NA,NA,NA
"chronos_correlated","not_scored",0,NA,NA,NA,NA,NA,NA,NA
"chronos_relaxed","not_scored",0,NA,NA,NA,NA,NA,NA,NA
"chronos_discrete","not_scored",0,NA,NA,NA,NA,NA,NA,NA
"treepl_best-smooth-100","not_scored",0,NA,NA,NA,NA,NA,NA,NA
"RelTime","RelTime-CI",580,190682.318124908,137300.661012819,192818.388899904,0,1103727.37511229,31681.2598008417,295706.890666214
