"candidate","tree_file","pulse_default_selector_error","burst_loss","pulse_burst_selector_error","rate_irregularity","gap_mode","mean_relative_gap","ghost_mean_ma","ghost_median_ma","min_violation_count","min_violation_sum_ma","max_violation_count","max_violation_sum_ma","uncertainty_source","uncertainty_n_bars","uncertainty_mean_width_ma","uncertainty_median_width_ma","uncertainty_sd_width_ma","uncertainty_min_width_ma","uncertainty_max_width_ma","uncertainty_q25_width_ma","uncertainty_q75_width_ma","rank_pulse_overall","rank_burst_loss","rank_pulse_burst","rank_pulse_family_mean","rank_pulse_family","rank_mean_relative_gap","rank_rate_irregularity","core_n_families_ranked","rank_mean_core","rank_mean_core_rank","rank_uncertainty_mean_width"
"chronos_clock","/PATH/TO/FOLDER/roadies_v1_1_16b_numbers_chronos_clock_lambda1.tre",0.22332397868018,0.160686028669514,0.210646241701019,1.59290489898548,"minimum_window_gap",0.123878006217417,13.0793991017351,0,0,0,0,0,"chronosci_delta_method",580,25.2392268356267,21.8024481017277,44.2610945062676,0.206547165237776,946.879667191584,11.2642941341409,31.5656937975153,3,3,3,3,3,2,2,3,2.33333333333333,2,2
"chronos_correlated","/PATH/TO/FOLDER/roadies_v1_1_16b_numbers_chronos_correlated_lambda0p1.tre",0.282371476106681,0.331159111934887,0.306569766605135,3.64942200863672,"minimum_window_gap",0.381568038468355,29.9506611069001,26.5899280082,0,0,0,0,"chronosci_delta_method",580,79.1129613214474,54.5357774685651,247.707313396813,8.80000000000001,5832.77121615689,40.6818016561591,77.8243554696515,4,4,4,4,4,4,4,3,4,4,3
"chronos_relaxed","/PATH/TO/FOLDER/roadies_v1_1_16b_numbers_chronos_relaxed_lambda0p01.tre",0.286871618720118,0.33324238605285,0.312032493461607,3.74766468089191,"minimum_window_gap",0.383065658130097,30.4778557129456,26.236400624,0,0,0,0,"chronosci_delta_method",580,82.0639499515837,56.3409081511188,256.22314405083,8.80000000000001,6038.42863586345,42.5220040443856,80.4055969614865,5,5,5,5,5,5,5,3,5,5,5
"chronos_discrete","/PATH/TO/FOLDER/roadies_v1.1.16b.numbers_chronos_dated_modeldiscrete.tre",0.290929381819848,0.34679757704279,0.317176002812827,3.57585286633816,"minimum_window_gap",0.412865762061948,28.3349733559474,26.68729195,0,0,0,0,"chronosci_delta_method",580,79.2725323643928,55.0795604120859,253.398026039139,8.80000000000001,5971.51066420671,38.9127137787549,77.6181999987901,6,6,6,6,6,6,3,3,5,5,4
"treepl_best-smooth-100","/PATH/TO/FOLDER/roadies_v1_1_16b_numbers_treePL_smooth100.tre",0.221623727953201,0.154958350496185,0.209834073092292,1.45209990622268,"minimum_window_gap",0.240930811631824,21.6457710877193,14.6185999999999,0,0,0,0,"treepl_delta_method",580,24.2407130672596,23.9478274495038,12.9652204347242,1.71726480781277,65.3574995072959,13.7223853605738,31.8620041455964,2,2,2,2,2,3,1,3,2,1,1
"RelTime","/PATH/TO/FOLDER/roadies_v1_1_16b_numbers_RelTime.tre",0.153941116777729,0.044886738312734,0.116426003008852,6.31423937973894,"minimum_window_gap",0.00716220182412011,1.18071728757895,0,0,0,0,0,"reltime_delta_method",580,190682.444814564,137300.661012819,192818.263421451,8.80000000000001,1103727.37511229,31681.2598008417,295706.890666214,1,1,1,1,1,1,6,3,2.66666666666667,3,6
