"node","n_tips","cv_ref","cv_est","concordance","spike_ratio","candidate"
215,36,1.4449822490354,0.95302513533776,0.659541067700973,1.02131484204195,"RelTime"
220,10,0.610680651037099,0.600115169100592,0.982698842809962,0.985497607806665,"RelTime"
221,9,0.592662587942692,0.612178968343664,0.968119812325836,1.00302797289504,"RelTime"
229,22,1.0800009721562,1.04866053890592,0.97098110644502,0.995178399797926,"RelTime"
230,21,1.1395173985874,1.10756038628829,0.971955660932663,0.99483282934567,"RelTime"
235,16,1.18922247093314,1.16086554042834,0.9761550666945,0.999444795518211,"RelTime"
236,15,0.988839879188194,0.876529748686267,0.88642232896783,0.991766752940127,"RelTime"
240,11,0.54487491672037,0.508346804689101,0.932960554963453,1.04420323356268,"RelTime"
258,37,1.08334490100478,1.15382699438576,0.938914504753373,2.05714285692204,"RelTime"
259,12,0.844300445693318,0.912855091843526,0.92490084487368,1.04683135143343,"RelTime"
262,9,1.07194492363695,1.11100420463812,0.964843264464606,1.06117206392694,"RelTime"
263,8,1.25980554588313,1.27848657128696,0.985388172372411,1.03985519257948,"RelTime"
270,25,1.27928173481379,1.31294680127668,0.974359154209327,2.08695652160428,"RelTime"
274,21,1.09541814040225,1.32666386666062,0.825693808303951,1.02197476771368,"RelTime"
279,16,1.29143755511266,1.29024464002831,0.999076288993127,0.967540755881192,"RelTime"
282,13,0.528328868718229,0.460130106381842,0.870916078271772,0.972520240578153,"RelTime"
283,12,0.563298442707336,0.488776890833359,0.867705027701106,0.954275627951419,"RelTime"
296,8,0.60673436762013,0.634380374113948,0.956420457470123,1.02156890042979,"RelTime"
215,36,1.4449822490354,1.04795580261738,0.725237838261989,1.0160418382406,"MCMCTree"
220,10,0.610680651037099,0.816681966632653,0.747758216769571,0.919007003250914,"MCMCTree"
221,9,0.592662587942692,0.80315111166072,0.737921643060683,0.915277722962991,"MCMCTree"
229,22,1.0800009721562,0.853331918818008,0.790121435830146,1.05667224125312,"MCMCTree"
230,21,1.1395173985874,0.892869471774988,0.783550538922732,1.05276301570507,"MCMCTree"
235,16,1.18922247093314,0.795295834969128,0.668752781256384,1.07011158143335,"MCMCTree"
236,15,0.988839879188194,0.725187817447356,0.733372341377162,1.04175179957272,"MCMCTree"
240,11,0.54487491672037,0.405665702554723,0.744511611942877,1.07395307168661,"MCMCTree"
258,37,1.08334490100478,1.1658826933273,0.929205748747363,0.996945352206215,"MCMCTree"
259,12,0.844300445693318,0.876799913655508,0.962933997305389,1.06083047502994,"MCMCTree"
262,9,1.07194492363695,0.895572283620259,0.835464830209483,1.09655649846681,"MCMCTree"
263,8,1.25980554588313,0.983042976709,0.780313263361517,1.05054933414271,"MCMCTree"
270,25,1.27928173481379,1.33290944991188,0.9597664229167,0.9735747826772,"MCMCTree"
274,21,1.09541814040225,1.318837604162,0.830593650761338,0.893109344676795,"MCMCTree"
279,16,1.29143755511266,1.34714419070946,0.958648349611732,0.890775801111368,"MCMCTree"
282,13,0.528328868718229,0.392392849389087,0.742705675616525,0.8918843959733,"MCMCTree"
283,12,0.563298442707336,0.414074714264111,0.735089399988357,0.868553257659185,"MCMCTree"
296,8,0.60673436762013,0.666799076034456,0.909920828367761,1.0320279562694,"MCMCTree"
