"candidate","tree_file","pulse_default_selector_error","burst_loss","pulse_burst_selector_error","internode_concordance","n_radiation_zones","compression_score","tempo_redistribution","depth_r2","depth_slope","depth_emd","rate_irregularity","gap_mode","mean_relative_gap","ghost_mean_ma","ghost_median_ma","min_violation_count","min_violation_sum_ma","max_violation_count","max_violation_sum_ma","uncertainty_n_bars","uncertainty_mean_width_ma","uncertainty_median_width_ma","uncertainty_sd_width_ma","uncertainty_min_width_ma","uncertainty_max_width_ma","uncertainty_q25_width_ma","uncertainty_q75_width_ma","rank_burst_loss","rank_internode_concordance","rank_compression_score","rank_tempo_redistribution","rank_depth_r2","rank_rate_irregularity","rank_mean_relative_gap","family_radiation_score","family_global_score","family_ratecal_score","core_n_families_ranked","rank_mean_core","rank_mean_core_rank","rank_uncertainty_mean_width"
"RelTime","CalibratedTree_backbone_RelTime_matrix75_RAXML.tre",0.207719590854008,0.161981088212734,0.18737911729311,0.925391780125206,18,0,0.401260578315844,0.113457683542187,0.206476142827318,0.488029159316364,1.15143717298976,"minimum_window_gap",0.268873275973636,10.272150527,3.24932059,0,0,1,3.98944286499999,193,11.41,11.85,4.17,2.96,32.96,9.26,13.7,1,1,NA,2,1,1,2,1,1.5,1.5,3,1.33333333333333,1,2
"MCMCTree","CalibratedTree_backbone_MCMCTree_matrix75_RAXML.tre",0.259963415614739,0.239620697079324,0.255991234459212,0.809770476350428,18,0,0.297737815582775,0.05846685994652,0.206339792846337,0.453630002604836,1.55309287590992,"minimum_window_gap",0.218384064731164,8.37220714285717,2.98340000000002,0,0,0,0,137,6.24,6.53,1.51,1.63,10.41,5.31,7.14,2,2,NA,1,2,2,1,2,1.5,1.5,3,1.66666666666667,2,1
