"ref_node","n_tips","n_events","emd","burst_ref","burst_est","burst_loss","centroid_shift","weight","candidate"
166,163,161,0.450273328680144,2.81862742769421,3.35702017902153,0,0.45382356383635,64.7100506153827,"RelTime"
167,84,82,0.331742815271947,2.86690577225093,2.5712735605541,0.103118914670369,0.336608108546107,40.2299181619499,"RelTime"
168,12,10,0.269422516355132,0.99405660472073,1.83906834252593,0,0.283894412284149,8.11108205256386,"RelTime"
172,8,6,0.387542986025498,0.976563170439873,1.90907374965573,0,0.398949104775242,5.38207906477617,"RelTime"
179,72,70,0.326886043826308,3.29111022610479,3.29607213509008,0,0.331715441357017,35.8965590987459,"RelTime"
181,70,68,0.276605047606419,2.88452886667244,2.80799393420545,0.0265329057203196,0.277984264595991,35.1509587624725,"RelTime"
182,15,13,0.252592612060503,1.04428363684376,1.1244442593084,0,0.255525975080057,9.99671080380871,"RelTime"
184,13,11,0.156615664483586,0.711825931630992,0.679538868293656,0.0453580881260007,0.161513376588099,8.75276296257109,"RelTime"
196,55,53,0.315254596629145,2.92114474609476,1.17627000423841,0.597325669735624,0.318369001424009,29.305002651553,"RelTime"
197,12,10,0.404404618865331,1.58755573921041,1.51676313830159,0.0445921986613118,0.406926662044181,8.11108205256386,"RelTime"
208,43,41,0.10205294780955,1.35766069422283,0.937573023531674,0.30942021999931,0.104270457978364,24.2306363639842,"RelTime"
215,36,34,0.0839089894140883,1.4311540674406,0.938885336822618,0.343966272965976,0.0817442996269906,21.0550886448637,"RelTime"
216,14,12,0.0771319573474848,1.46619318187206,1.18918744708282,0.188928538349471,0.00250726471670903,9.38096107551229,"RelTime"
220,10,8,0.21151530056923,1.59155500216491,0.777868938707421,0.511252242209764,0.2132534139458,6.78227203188358,"RelTime"
221,9,7,0.200967751688432,1.58877954243195,0.844410854524404,0.468516032606809,0.20253710792589,6.09206752862678,"RelTime"
229,22,20,0.119955533827396,1.347099240474,1.2076163962978,0.103543109509154,0.122516256458324,14.02235641975,"RelTime"
230,21,19,0.119910704376179,1.44597444251627,1.16070718356005,0.197283748984943,0.12290092725213,13.4735416843829,"RelTime"
235,16,14,0.1327886164065,1.69323764256472,2.02314414225582,0,0.134966372100513,10.6009136370944,"RelTime"
236,15,13,0.197444371958647,1.00766128125047,1.0906710758179,0,0.200305479544251,9.99671080380871,"RelTime"
240,11,9,0.148595471768879,0.660915634832389,0.567478794458428,0.141374837345942,0.154247698014236,7.454719949364,"RelTime"
250,79,77,0.533206197046958,2.48211219792908,4.39885958423163,0,0.541625153531766,38.4521276638671,"RelTime"
257,72,70,0.50408844930605,2.76972111102848,4.66330661432123,0,0.511307371331017,35.8965590987459,"RelTime"
258,37,35,0.212056077177919,1.17610023229649,1.6295167980603,0,0.217986811765519,21.5202499388402,"RelTime"
259,12,10,0.108735115656548,0.933187130230002,1.30121549730181,0,0.11169548764288,8.11108205256386,"RelTime"
262,9,7,0.0784574949953103,1.21788814820768,1.38088133440886,0,0.0781966752062166,6.09206752862678,"RelTime"
263,8,6,0.0988225860208291,1.4333138843725,1.65263044518552,0,0.0976046843558824,5.38207906477617,"RelTime"
270,25,23,0.101676110558848,1.50083690883614,1.84733454352472,0,0.10298640821197,15.6252820830395,"RelTime"
274,21,19,0.121407081009188,1.57449934189411,1.87303241360404,0,0.114706075636464,13.4735416843829,"RelTime"
279,16,14,0.138217312106051,1.85375291924241,2.0912656187014,0,0.138019332614462,10.6009136370944,"RelTime"
282,13,11,0.165493537889022,1.5527395282924,0.898206760844775,0.421534169460487,0.165834364288943,8.75276296257109,"RelTime"
283,12,10,0.164871935700973,1.72587900472825,0.929572614468969,0.461391782435063,0.165140359935422,8.11108205256386,"RelTime"
294,35,33,0.325846532409575,2.78902751585624,4.19153371359708,0,0.328718260947891,20.5857490370166,"RelTime"
295,34,32,0.395699910509686,2.34172234067553,0.979169657224024,0.581859198156627,0.40375211908299,20.1120857900609,"RelTime"
296,8,6,0.072239519691361,0.825705363303922,0.908319253509438,0,0.0729549291668632,5.38207906477617,"RelTime"
303,26,24,0.336578617905104,2.05525363753826,0.855444463994023,0.583776693849212,0.341395222295183,16.1462371943285,"RelTime"
304,25,23,0.336696347446785,2.11948635349685,0.841019665538377,0.60319647062062,0.341160096282044,15.6252820830395,"RelTime"
306,23,21,0.331135017838918,2.1072750324154,0.987083031282771,0.531583198159051,0.336623351615129,14.5636722402138,"RelTime"
307,9,7,0.207052274278591,0.819210159076582,0.724318440583888,0.115833180828154,0.219822469473476,6.09206752862678,"RelTime"
308,8,6,0.241862935931553,0.760229827760304,0.69957004171312,0.0797913786490229,0.256674514183088,5.38207906477617,"RelTime"
